DateTime,AddedIPs,RemovedIPs
1630204580,26,41
1630204924,17250,12
1630206727,31,20
1630207443,83,53
1630208646,12,8
1630210580,115,186
1630211042,25,0
1630211762,29,79
1630212489,5,14
1630213564,98,85
1630214650,10,23
1630214900,54,1
1630215723,26,109
1630216574,22,20
1630218499,135,102
1630218963,69,65
1630219323,24,33
1630220430,15,15
1630221123,92,102
1630221844,15,0
1630222338,24,17
1630222949,11,66
1630224269,51,41
1630224362,38,84
1630226181,23,20
1630227243,139,126
1630228090,10,31
1630228683,38,59
1630230252,51,122
1630230483,15,21
1630232176,24,1086
1630232283,73,81
1630232642,20,0
1630234098,39,33
1630234442,62,103
1630236006,546,65
1630236243,23,0
1630237333,27,95
1630237927,30,25
1630238044,24,0
1630238762,23,78
1630239861,68,28
1630240562,35,79
1630241285,35,30
1630241766,30,13
1630243929,78,92
1630244883,74,98
1630245858,45,25
1630246683,64,79
1630247779,33,16990
1630248483,16941,7
1630249685,29,17
1630250283,90,54
1630251005,24,64
1630251606,51,16
1630252811,57,72
1630253539,27,24
1630253883,29,0
1630254243,9,0
1630255455,62,102
1630257381,136,66
1630257842,33,1
1630259294,30,28
1630261451,84,101
1630261805,96,139
1630262523,24,17
1630263379,43,19
1630275128,187,121
1630275543,511,495
1630277055,22,24
1630277690,59,97
1630278975,460,46
1630279806,31,60
1630280899,19,15
1630282811,81,97
1630283405,65,56
1630284967,114,41
1630285923,57,55
1630287141,57,18
1630287723,84,142
1630287749,509,1016
1630288443,42,0
1630289295,23,26
1630289582,47,403
1630289883,9,0
1630290605,16,77
1630291216,11,18
1630292044,48,20
1630293159,15,15
1630293843,55,54
1630294564,27,71
1630295047,20,15
1630295643,46,17
1630296981,60,96
1630297502,48,0
1630298891,12,15
1630299243,84,122
1630299963,28,61
1630301049,13,20
1630301405,63,100
1630302123,23,14
1630302969,16,27
1630304284,82,73
1630304896,16,10
1630305363,30,11577
1630306808,23,20
1630307166,11556,58
1630307883,26,1
1630308726,28,15
1630308964,56,119
1630309686,42,19
1630310664,15,15
1630311122,86,80
1630312567,22,24
1630312570,60,94
1630313283,36,7
1630314484,22,22
1630315804,108,157
1630316417,30,21
1630317243,66,12
1630318326,37,1022
1630319405,60,64
1630320244,32,29
1630322178,550,111
1630322285,30,0
1630324085,23,14
1630324086,67,63
1630326248,25,22
1630326604,143,133
1630328167,86,28
1630328822,43,54
1630330095,52,17
1630330924,43,72
1630332014,26,14
1630332722,59,39
1630333926,17,15
1630334524,71,65
1630335864,30,16
1630336322,43,50
1630337768,137,75
1630338483,57,23
1630338843,17,0
1630339927,53,70
1630341845,32,14
1630343778,189,154
1630344242,63,0
1630345687,28,19
1630346042,82,77
1630347122,35,42
1630347847,28,17
1630348922,84,83
1630349765,30,16
1630350423,62,54
1630351696,80,19
1630351804,14,54
1630352883,46,16
1630353615,30,17
1630354023,62,48
1630354683,27,0
1630355535,28,13
1630355763,40,64
1630356482,26,13
1630357455,42,18
1630358643,57,80
1630359368,18,17
1630359723,37,115
1630360922,29,68
1630361537,22,26
1630362243,36,0
1630363446,20,22
1630364043,58,119
1630365122,41,50
1630365366,367,0
1630366204,23,86
1630367299,13,12
1630369449,95,128
1630369563,48,0
1630370523,30,110
1630371369,21,19
1630373298,86,62
1630373405,44,68
1630374844,808,1031
1630375205,15,14
1630376283,76,49
1630377369,46,81
1630377723,40,14
1630378443,35,0
1630379533,61,62
1630380243,50,0
1630381447,16,10
1630382044,59,97
1630382763,32,67
1630383377,17,27
1630383843,46,0
1630384206,9,80
1630385289,53,20
1630385642,21,0
1630387449,18,10
1630388162,94,205
1630388883,37,43
1630389367,25,21
1630391301,95,86
1630391405,63,57
1630392483,97,18
1630393456,17,12
1630393924,107,49
1630395379,30,18
1630396443,205,116
1630397541,57,69
1630397883,42,1
1630398607,38,58
1630399448,25,12
1630399683,50,12
1630400043,33,0
1630400763,52,40
1630401366,22,16
1630401483,48,2
1630402204,47,75
1630403299,27,18
1630403642,105,25
1630404722,59,44
1630405207,30,1136
1630405443,50,0
1630406524,89,64
1630407126,31,38
1630407243,41,0
1630407963,52,44
1630409059,555,2
1630410242,147,106
1630410965,34,26
1630411924,101,53
1630413128,42,23
1630414442,132,86
1630415056,28,15
1630415523,70,4828
1630426565,184,138
1630428486,36,14
1630429923,5428,548
1630430648,25,19
1630431005,38,58
1630431722,23,24
1630432569,30,19
